noise_mean,noise_std,noise_min,noise_25%,noise_50%,noise_75%,noise_max,noise_mad,max_magnitude_mean,max_magnitude_std,max_magnitude_min,max_magnitude_25%,max_magnitude_50%,max_magnitude_75%,max_magnitude_max,max_magnitude_mad,total_gain_db_mean,total_gain_db_std,total_gain_db_min,total_gain_db_25%,total_gain_db_50%,total_gain_db_75%,total_gain_db_max,total_gain_db_mad,base_pwr_db_mean,base_pwr_db_std,base_pwr_db_min,base_pwr_db_25%,base_pwr_db_50%,base_pwr_db_75%,base_pwr_db_max,base_pwr_db_mad,rssi_mean,rssi_std,rssi_min,rssi_25%,rssi_50%,rssi_75%,rssi_max,rssi_mad,relpwr_db_mean,relpwr_db_std,relpwr_db_min,relpwr_db_25%,relpwr_db_50%,relpwr_db_75%,relpwr_db_max,relpwr_db_mad,avgpwr_db_mean,avgpwr_db_std,avgpwr_db_min,avgpwr_db_25%,avgpwr_db_50%,avgpwr_db_75%,avgpwr_db_max,avgpwr_db_mad,bin_label,label
-95.0,0.0,-95.0,-95.0,-95.0,-95.0,-95.0,0.0,47.04,27.113647836281615,25.0,32.0,36.5,51.25,208.0,18.15759999999998,75.95,3.3314388555825016,70.0,74.0,74.0,81.0,81.0,2.970999999999993,377.39,2.9912160967362027,373.0,373.0,379.0,379.0,384.0,2.6340000000000057,5.9,1.534123643496623,3.0,5.0,6.0,7.0,13.0,1.1420000000000008,14.73,13.423825494585765,0.0,11.0,12.0,13.0,63.0,6.706400000000007,51.15,3.173039838732224,47.0,48.0,50.0,54.0,58.0,2.845999999999999,0,2
-108.0,0.0,-108.0,-108.0,-108.0,-108.0,-108.0,0.0,53.2,24.118394840805006,26.0,37.0,44.5,61.5,122.0,18.840000000000003,76.28,6.90787868153371,51.0,74.0,81.0,81.0,81.0,5.4784000000000095,390.45,6.635343079131463,386.0,386.0,386.0,393.0,415.0,5.228999999999998,13.39,6.5395378701828415,9.0,11.0,11.0,12.25,39.0,3.8351999999999937,12.33,5.5796437379481745,0.0,11.0,12.0,14.0,58.0,2.6697999999999995,52.74,3.759486317801598,43.0,51.0,54.0,55.0,58.0,3.0439999999999956,0,2
-108.0,0.0,-108.0,-108.0,-108.0,-108.0,-108.0,0.0,50.2,16.988409596135263,26.0,38.0,46.0,56.25,110.0,12.243999999999993,75.12,5.17624722685609,58.0,74.0,74.0,81.0,81.0,3.9960000000000013,391.44,5.00165629132647,386.0,386.0,392.0,393.0,408.0,3.7080000000000006,13.72,5.934116393679634,9.0,10.75,11.0,13.0,34.0,4.228800000000008,10.8,3.4553428106909942,2.0,8.0,11.0,13.0,19.0,2.7319999999999975,51.9,3.264439562400513,45.0,49.0,52.0,55.0,59.0,2.890000000000002,0,2
-108.0,0.0,-108.0,-108.0,-108.0,-108.0,-108.0,0.0,62.96,29.00188778251331,34.0,46.0,51.0,66.0,228.0,20.202400000000015,75.07,6.86118492578786,57.0,69.0,78.0,81.0,81.0,5.905799999999995,391.71,6.598584176269414,386.0,386.0,389.0,397.0,409.0,5.706799999999996,14.15,5.915866356458261,9.0,10.0,11.0,17.0,39.0,4.471999999999998,10.78,2.6037269325706838,4.0,9.0,11.0,12.0,18.0,1.9952,52.32,3.651151748545805,45.0,49.75,54.0,55.0,60.0,3.0512000000000006,0,2
-108.0,0.0,-108.0,-108.0,-108.0,-108.0,-108.0,0.0,56.62,21.419230479721588,34.0,44.0,49.5,62.25,163.0,15.165999999999999,73.91,5.594179875982582,63.0,69.0,73.0,81.0,81.0,4.990000000000006,392.74,5.3966319462824535,386.0,386.0,393.5,397.0,404.0,4.8363999999999985,14.41,5.241819022693044,9.0,10.0,12.0,18.25,30.0,4.501200000000004,11.77,6.637595706856257,0.0,9.0,12.0,14.0,63.0,3.5884000000000045,51.52,4.682829154356252,43.0,48.0,53.0,55.0,65.0,3.986400000000005,0,2
-108.0,0.0,-108.0,-108.0,-108.0,-108.0,-108.0,0.0,54.16,17.15863006940198,26.0,43.75,49.5,57.0,117.0,12.044799999999995,73.01,5.866348131848332,63.0,69.0,71.0,80.0,81.0,5.2314000000000025,393.65,5.784645297001466,386.0,387.0,395.0,398.0,404.0,5.152000000000003,17.29,4.502064621769201,9.0,13.0,19.0,20.25,26.0,3.977800000000006,22.59,18.468151674237085,1.0,12.0,17.0,21.0,63.0,13.408599999999979,54.73,2.7628670513498017,45.0,54.0,55.0,57.0,60.0,2.0807999999999995,0,2
-108.0,0.0,-108.0,-108.0,-108.0,-108.0,-108.0,0.0,52.24,19.760750813855044,33.0,42.0,47.0,55.25,156.0,11.976800000000003,75.24,5.376942918751804,65.0,72.0,74.0,81.0,81.0,4.538400000000001,391.42,5.1896945279013575,386.0,386.0,392.0,394.0,401.0,4.292799999999997,15.76,21.351848026375013,9.0,10.0,11.0,17.0,223.0,6.297599999999997,17.5,17.362155524140558,0.0,8.0,12.0,14.0,63.0,12.37,52.42,4.212007846741279,45.0,49.0,53.5,55.0,66.0,3.564399999999996,0,2
-108.0,0.0,-108.0,-108.0,-108.0,-108.0,-108.0,0.0,50.24,9.0844744904522,32.0,44.0,49.0,55.0,86.0,6.8392,79.47,4.036337473752679,58.0,81.0,81.0,81.0,81.0,2.5092000000000008,387.39,3.7709549201894523,386.0,386.0,386.0,386.0,408.0,2.2795999999999914,10.79,3.388319210273298,8.0,10.0,10.0,11.0,33.0,1.3005999999999995,11.48,2.052246859351275,1.0,10.0,12.0,13.0,15.0,1.534400000000001,53.56,2.1429706559641075,46.0,54.0,54.0,55.0,56.0,1.4863999999999988,0,2
-108.0,0.0,-108.0,-108.0,-108.0,-108.0,-108.0,0.0,60.04,19.922029834514184,32.0,50.0,58.0,65.25,224.0,10.428000000000003,73.92,6.869166946977962,54.0,72.0,73.0,81.0,81.0,5.232,392.75,6.720051406729781,386.0,386.0,393.0,394.0,412.0,5.025,17.71,7.326849750931653,8.0,11.0,19.0,21.0,38.0,5.784799999999998,11.87,4.164920846374596,1.0,10.0,12.0,14.0,25.0,2.918599999999999,55.19,2.0631201240995716,49.0,54.0,55.0,56.0,69.0,1.2507999999999992,0,2
-108.0,0.0,-108.0,-108.0,-108.0,-108.0,-108.0,0.0,61.02,15.060135350244261,38.0,52.0,58.0,64.25,121.0,9.906799999999997,80.8,0.7913675671030653,75.0,81.0,81.0,81.0,81.0,0.36000000000000226,386.11,0.6012613005301041,386.0,386.0,386.0,386.0,391.0,0.2090000000000123,10.1,0.9156330260447354,8.0,9.0,10.0,11.0,13.0,0.7100000000000005,11.35,9.816884033195668,0.0,8.0,11.0,13.0,63.0,4.2650000000000015,54.22,0.905426959946511,49.0,54.0,54.0,55.0,56.0,0.6103999999999996,0,2
-108.0,0.0,-108.0,-108.0,-108.0,-108.0,-108.0,0.0,61.88,19.999131294265073,36.0,50.0,55.0,66.25,145.0,13.928799999999999,74.58,6.77216525361145,54.0,71.0,73.0,81.0,81.0,5.754800000000007,392.09,6.618149211818886,386.0,386.0,394.0,395.0,413.0,5.564600000000005,17.4,7.178812822142222,8.0,11.0,20.0,21.0,38.0,6.056000000000004,15.2,4.4038550605054425,3.0,12.75,15.5,18.0,24.0,3.5599999999999996,55.83,2.0940270998603374,51.0,54.75,56.0,57.0,69.0,1.4636000000000013,0,2
-95.0,0.0,-95.0,-95.0,-95.0,-95.0,-95.0,0.0,63.98,20.075604573459277,38.0,52.0,56.5,68.0,144.0,14.514000000000001,80.07,2.9755060684926145,66.0,81.0,81.0,81.0,81.0,1.599600000000005,373.85,2.8368961556567096,373.0,373.0,373.0,373.0,388.0,1.5130000000000177,4.29,1.444564874544469,2.0,3.0,4.0,5.0,10.0,1.0512000000000006,11.04,7.590424589872782,2.0,7.0,11.0,13.0,60.0,3.4839999999999947,54.81,1.4818429693657118,48.0,54.0,55.0,56.0,57.0,0.9783999999999992,0,2
-102.0,0.0,-102.0,-102.0,-102.0,-102.0,-102.0,0.0,62.35,13.378993786809037,43.0,56.0,61.0,66.0,134.0,8.513000000000003,79.69,3.4250857100534158,64.0,81.0,81.0,81.0,81.0,2.1670000000000016,381.27,3.4196550124304075,380.0,380.0,380.0,380.0,397.0,2.1443999999999868,5.79,3.0026755745602296,3.0,5.0,5.0,6.0,22.0,1.638600000000001,9.45,3.2917865340660515,1.0,7.0,10.0,12.0,16.0,2.716,54.53,1.7721470171814322,49.0,54.0,55.0,55.0,59.0,1.2333999999999998,0,2
-101.0,0.0,-101.0,-101.0,-101.0,-101.0,-101.0,0.0,65.85,14.170944095777687,38.0,58.0,64.0,70.0,113.0,9.866000000000007,77.27,4.631588945666073,64.0,74.0,81.0,81.0,81.0,4.157600000000004,382.35,4.31903234579696,379.0,379.0,379.0,385.0,396.0,3.752000000000003,6.24,5.306980347056173,2.0,4.0,5.0,6.0,34.0,2.943200000000005,11.54,3.8935844667863573,2.0,10.75,13.0,14.0,17.0,3.036400000000002,53.07,2.7606725867645237,45.0,50.0,54.0,55.0,58.0,2.397400000000002,0,2
-102.0,0.0,-102.0,-102.0,-102.0,-102.0,-102.0,0.0,58.9,22.19905357887989,14.0,47.0,54.0,63.0,161.0,14.550000000000018,78.31,4.31978067157409,63.0,74.0,81.0,81.0,81.0,3.6921999999999993,382.53,4.144986018180169,380.0,380.0,380.0,386.0,398.0,3.501999999999989,6.86,3.703724579065747,3.0,5.0,5.0,7.0,19.0,2.8328000000000038,11.5,2.2495790852081776,7.0,10.0,11.0,13.0,19.0,1.68,53.81,2.7328713578553,44.0,54.0,54.0,55.0,61.0,1.7887999999999988,0,2
-102.0,0.0,-102.0,-102.0,-102.0,-102.0,-102.0,0.0,60.29,20.795441905388884,33.0,46.0,54.0,63.0,143.0,14.61439999999999,77.73,4.059792998653896,65.0,74.0,80.0,81.0,81.0,3.5239999999999996,383.05,3.929620744031056,380.0,380.0,380.0,387.0,396.0,3.384000000000003,8.19,5.130016638089072,3.0,5.0,6.0,9.0,35.0,3.302199999999999,12.98,2.9266452680932358,1.0,12.0,13.0,14.0,20.0,1.8060000000000012,54.66,2.8892695941844533,48.0,54.0,55.0,57.0,62.0,2.2412000000000005,0,2
-108.0,0.0,-108.0,-108.0,-108.0,-108.0,-108.0,0.0,66.75,33.21140579300242,29.0,45.75,58.0,69.25,194.0,23.095,77.14,5.287721626560915,57.0,75.0,80.0,81.0,81.0,4.132000000000001,389.57,5.1370215007326845,386.0,386.0,386.0,392.0,410.0,3.949599999999998,13.0,3.259794874875201,8.0,11.0,12.0,15.0,24.0,2.64,21.69,21.28294000728131,0.0,9.75,13.0,17.0,63.0,17.15640000000003,53.72,3.4788829044143266,42.0,53.0,54.0,55.0,60.0,2.4120000000000004,0,2
-102.0,0.0,-102.0,-102.0,-102.0,-102.0,-102.0,0.0,60.11,22.49619271940669,32.0,48.0,55.0,62.25,156.0,14.407399999999987,78.91,4.383382301835008,63.0,81.0,81.0,81.0,81.0,3.2240000000000113,381.92,4.145534289504134,380.0,380.0,380.0,380.0,398.0,3.013600000000009,7.28,4.694892991540939,3.0,5.0,5.0,7.25,23.0,3.5799999999999903,12.72,6.311893535223799,1.0,11.0,12.0,14.0,63.0,3.120800000000004,55.21,1.5061825449081065,51.0,54.0,55.0,56.0,59.0,1.1466000000000025,0,2
-102.0,0.0,-102.0,-102.0,-102.0,-102.0,-102.0,0.0,59.25,10.877996510424522,33.0,54.0,58.5,63.0,120.0,6.345,74.44,2.3498119417553744,68.0,74.0,74.0,74.0,81.0,1.2519999999999982,385.68,2.150311229528968,380.0,386.0,386.0,386.0,392.0,1.0959999999999945,6.41,3.438037377647458,3.0,5.0,5.0,6.25,21.0,2.254999999999998,10.71,2.944932301874912,4.0,9.0,11.0,13.0,16.0,2.4111999999999973,51.17,2.6325660562280375,48.0,49.0,50.5,54.0,57.0,2.2674000000000003,0,2
-102.0,0.0,-102.0,-102.0,-102.0,-102.0,-102.0,0.0,59.71,7.452604452895184,39.0,56.0,60.0,63.0,94.0,4.947400000000003,74.17,1.8205060901415417,68.0,74.0,74.0,74.0,81.0,0.6830000000000015,386.33,1.7755636464588584,380.0,386.0,386.0,387.0,392.0,0.9497999999999991,5.22,2.750867631725074,3.0,4.0,5.0,5.0,18.0,1.4071999999999991,10.01,4.0364375732603985,0.0,8.0,12.0,13.0,15.0,3.266399999999999,49.75,1.9036116656864062,48.0,49.0,49.0,50.0,58.0,1.27,0,2
-102.0,0.0,-102.0,-102.0,-102.0,-102.0,-102.0,0.0,51.92,8.905429055731489,33.0,46.0,52.0,56.0,87.0,6.501600000000004,80.74,1.2441377688498907,74.0,81.0,81.0,81.0,81.0,0.4940000000000046,380.25,1.2339883600452934,380.0,380.0,380.0,380.0,387.0,0.475,4.75,1.2007993970348219,2.0,4.0,5.0,5.0,11.0,0.815,10.55,6.109067610585683,0.0,8.0,11.0,12.0,63.0,2.8239999999999985,54.37,1.1516786167866608,48.0,54.0,54.0,55.0,57.0,0.7669999999999996,0,2
-95.0,0.0,-95.0,-95.0,-95.0,-95.0,-95.0,0.0,53.9,22.034179142982627,25.0,39.0,47.0,60.25,142.0,16.495999999999995,77.67,4.4541547963104025,68.0,74.0,81.0,81.0,81.0,4.049200000000001,376.25,4.321370433582665,373.0,373.0,373.0,380.0,385.0,3.95,5.07,4.566578189808684,2.0,3.75,4.0,5.0,46.0,1.8333999999999984,12.38,7.478967140919226,1.0,10.0,12.0,14.0,61.0,3.1855999999999995,53.13,3.1834642206948778,44.0,51.0,54.0,55.0,58.0,2.573599999999999,0,2
-101.0,0.0,-101.0,-101.0,-101.0,-101.0,-101.0,0.0,54.36,32.57920263671971,25.0,36.0,41.5,59.75,235.0,22.5368,73.03,4.395716464050338,61.0,69.0,74.0,74.0,81.0,3.216800000000002,386.77,4.172674456653924,379.0,386.0,386.0,390.0,398.0,2.968799999999992,7.28,4.625533002320441,3.0,4.0,5.0,8.25,24.0,3.5831999999999984,15.87,14.069563826310546,0.0,11.0,13.0,14.0,62.0,7.916400000000003,50.04,3.0114931361520503,43.0,48.0,49.0,52.0,57.0,2.3311999999999986,0,2
-101.0,0.0,-101.0,-101.0,-101.0,-101.0,-101.0,0.0,57.48,25.558204517958966,20.0,41.75,51.0,63.25,172.0,18.243200000000005,74.23,10.601939026004205,50.0,70.0,81.0,81.0,81.0,8.462599999999991,385.43,10.289992196009647,379.0,379.0,379.0,389.25,409.0,8.16200000000002,11.3,10.554811244358689,3.0,5.0,6.0,14.25,36.0,8.297999999999988,11.08,3.7055241317402174,0.0,10.0,12.0,13.0,19.0,2.753599999999999,54.54,2.1434419596395484,44.0,54.0,55.0,56.0,58.0,1.4196000000000015,0,2
-102.0,0.0,-102.0,-102.0,-102.0,-102.0,-102.0,0.0,48.38,24.774041481218426,22.0,34.0,41.0,49.0,149.0,16.24240000000002,77.15,5.63067895147161,57.0,74.0,81.0,81.0,81.0,4.754000000000003,383.58,5.365772558682965,380.0,380.0,380.0,386.0,403.0,4.430799999999996,7.48,5.343702042138158,3.0,4.0,5.0,6.0,25.0,4.149600000000004,11.25,2.0713290516970115,5.0,10.0,11.0,12.0,16.0,1.58,53.32,2.762958449549938,44.0,53.0,54.0,55.0,59.0,1.9728000000000026,0,2
-102.0,0.0,-102.0,-102.0,-102.0,-102.0,-102.0,0.0,50.64,15.980745990855448,24.0,41.0,49.0,57.0,130.0,10.529600000000002,74.54,9.136915908731584,52.0,71.0,81.0,81.0,81.0,7.244399999999998,386.24,8.87525216600075,380.0,380.0,380.0,389.0,408.0,7.008000000000002,9.56,8.149264080302283,4.0,5.0,5.0,8.0,29.0,6.6599999999999975,22.54,19.51917989666533,1.0,11.0,12.5,15.75,61.0,16.420799999999982,52.41,3.464378615555638,45.0,49.75,54.0,55.0,60.0,2.9670000000000027,0,2
-102.0,0.0,-102.0,-102.0,-102.0,-102.0,-102.0,0.0,54.78,20.312000732014898,23.0,41.75,49.0,64.0,121.0,15.364799999999997,78.16,4.819405219180749,61.0,74.75,81.0,81.0,81.0,3.702400000000008,382.6,4.683950676447605,380.0,380.0,380.0,386.0,399.0,3.520000000000009,7.16,3.708358018303951,2.0,5.0,6.0,7.25,21.0,2.6399999999999992,13.05,8.900544756906562,0.0,11.0,13.0,15.0,62.0,4.324000000000003,54.49,3.852049172620051,39.0,54.0,55.0,57.0,61.0,2.7515999999999985,0,2
-102.0,0.0,-102.0,-102.0,-102.0,-102.0,-102.0,0.0,45.01,11.801810338788165,29.0,37.0,43.0,49.0,105.0,8.2716,75.58,3.701432973944828,66.0,74.0,74.0,81.0,81.0,2.991999999999998,385.29,3.568365497427685,380.0,380.0,387.0,387.0,394.0,2.9371999999999936,6.91,4.5351489234175935,2.0,4.75,5.0,6.0,22.0,3.2595999999999963,10.74,3.7995746705082243,1.0,9.0,12.0,13.0,20.0,2.8676000000000004,51.91,3.7821884531246575,47.0,48.0,50.0,55.0,60.0,3.506400000000007,0,2
-102.0,0.0,-102.0,-102.0,-102.0,-102.0,-102.0,0.0,49.6,12.443001359329783,30.0,42.75,47.0,54.0,136.0,7.776000000000005,76.91,4.656037679045013,63.0,73.0,79.0,81.0,81.0,4.228000000000006,383.8,4.487918687032345,380.0,380.0,381.0,387.25,397.0,4.060000000000002,6.63,3.8235183966201767,3.0,5.0,5.0,7.0,19.0,2.552399999999999,12.35,15.35069833570901,0.0,3.0,10.0,12.25,63.0,9.045000000000005,53.09,3.156186805547978,41.0,52.0,54.0,55.0,60.0,2.422999999999999,0,2
-101.0,0.0,-101.0,-101.0,-101.0,-101.0,-101.0,0.0,54.64,16.104155935156562,27.0,44.75,49.5,61.0,116.0,11.644800000000002,77.51,3.674908093401725,67.0,74.0,79.0,81.0,81.0,3.490000000000001,382.09,3.306238364246009,379.0,379.0,380.5,385.0,392.0,3.093599999999999,5.24,2.6671211733881437,2.0,4.0,5.0,5.0,19.0,1.5592,14.32,13.106309684093134,0.0,9.0,12.0,13.0,62.0,6.522400000000013,52.45,3.1119677752739396,48.0,49.0,54.0,55.0,57.0,2.9090000000000007,0,2
